id,No,No2,登録番号,社名,代表者名1,本店支店,住所,URL,免許証番号,法人個人の別,免許の有効期間,最初の免許年月日,称号・名称,代表者名2,電話番号,加入している協会,資本金,業種1,業種2,業種3,業種4,事務所名称,事務所の区分,設置年月日,所在地,TEL
152063,337,沖縄県,(07)第002907号,有限会社　牧志不動産,屋良　朝光,本店,沖縄県那覇市牧志三丁目１２番５号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002907,沖縄県知事免許　(06)第002907号,法人,H29年06月03日からR04年06月02日まで,H06年06月02日,有限会社牧志不動産,屋良　朝光,863-5251,（公社）全国宅地建物取引業保証協会,"10,000千円",卸売･小売業、飲食店,不動産賃貸業,不動産管理業,,本店,主,6/2/1994,"〒900-0013
沖縄県那覇市牧志三丁目１２番５号",8635251
152064,338,沖縄県,(07)第002908号,有限会社　祐住宅,髙良　祐一,本店,沖縄県那覇市小禄１丁目３番２６号　１階,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002908,沖縄県知事免許　(06)第002908号,法人,H29年06月03日からR04年06月02日まで,H06年06月02日,有限会社祐住宅,髙良　祐一,098-857-1202,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産賃貸業,不動産管理業,,,本店,主,6/2/1994,"〒901-0152
沖縄県那覇市小禄１丁目３番２６号　１階",098-857-1202
152065,339,沖縄県,(07)第002912号,東宝開発,大城　重弘,本店,沖縄県島尻郡南風原町字照屋２５３番地の１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002912,沖縄県知事免許　(06)第002912号,個人,H29年06月25日からR04年06月24日まで,H06年06月24日,東宝開発,大城　重弘,098-889-3880,（公社）全国宅地建物取引業保証協会,0千円,建設業,不動産賃貸業,,,本店,主,6/24/1994,"〒901-1116
沖縄県島尻郡南風原町字照屋２５３番地の１",098-889-3880
152066,340,沖縄県,(07)第002917号,株式会社　幸ホーム,玉城　順一,本店,沖縄県那覇市銘苅二丁目１０番１号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002917,沖縄県知事免許　(06)第002917号,法人,H29年07月13日からR04年07月12日まで,H06年07月12日,株式会社幸ホーム,玉城　順一,098-869-8923,（公社）全国宅地建物取引業保証協会,"10,000千円",建設業,,,,本店,主,7/12/1994,"〒900-0004
沖縄県那覇市銘苅二丁目１０番１号",098-869-8923
152067,341,沖縄県,(07)第002923号,桂ハウス,豊里　篤信,本店,沖縄県浦添市宮城２－１５－２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002923,沖縄県知事免許　(06)第002923号,個人,H29年08月23日からR04年08月22日まで,H06年08月22日,桂ハウス,豊里　篤信,098-875-0505,（公社）全国宅地建物取引業保証協会,0千円,不動産管理業,,,,本店,主,8/22/1994,"〒901-2126
沖縄県浦添市宮城２－１５－２",098-875-0505
152068,342,沖縄県,(06)第002929号,三樹住宅,金城　幸盛,本店,沖縄県那覇市首里石嶺町四丁目３７５番地１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002929,沖縄県知事免許　(06)第002929号,個人,H29年09月06日からR04年09月05日まで,H06年09月05日,三樹住宅,金城　幸盛,098-886-6666,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,9/5/1994,"〒903-0804
沖縄県那覇市首里石嶺町四丁目３７５番地１",098-886-6666
152069,343,沖縄県,(06)第002930号,有限会社　大都商事,大井　優,本店,沖縄県浦添市牧港二丁目４３番１２号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002930,沖縄県知事免許　(06)第002930号,法人,H29年09月06日からR04年09月05日まで,H06年09月05日,有限会社大都商事,大井　優,098-873-0102,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産管理業,,,,本店,主,9/5/1994,"〒901-2131
沖縄県浦添市牧港二丁目４３番１２号",098-873-0102
152070,344,沖縄県,(06)第002943号,有限会社住宅情報社,金城　勇次,本店,沖縄県那覇市松尾二丁目２番２９号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002943,沖縄県知事免許　(06)第002943号,法人,H29年11月09日からR04年11月08日まで,H06年11月08日,有限会社住宅情報社,金城　勇次,098-867-8333,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産管理業,,,,本店,主,11/8/1994,"〒900-0014
沖縄県那覇市松尾二丁目２番２９号",098-867-8333
152071,345,沖縄県,(06)第002950号,株式会社ＳＨＯＷＡ,中石　賢三,本店,沖縄県沖縄市仲宗根町３５番３号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002950,沖縄県知事免許　(06)第002950号,法人,H29年12月27日からR04年12月26日まで,H06年12月26日,株式会社ＳＨＯＷＡ,上原　正幸,098-939-3413,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産管理業,,,,本店,主,12/26/1994,"〒904-0014
沖縄県沖縄市仲宗根町３５番８号",098-939-3413
152072,346,沖縄県,(06)第002952号,有限会社大栄,大城　千秋,本店,沖縄県うるま市字宮里２０８番地の１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002952,沖縄県知事免許　(06)第002952号,法人,H29年12月27日からR04年12月26日まで,H06年12月26日,有限会社大栄,大城　千秋,098-974-1116,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産賃貸業,不動産管理業,,,本店,主,12/26/1994,"〒904-2243
沖縄県うるま市字宮里２０８番地の１",098-974-1116
152073,347,沖縄県,(06)第002965号,株式会社三永開発,知花　和身,本店,沖縄県那覇市泊二丁目１番地の１５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002965,沖縄県知事免許　(06)第002965号,法人,H30年03月04日からR05年03月03日まで,H07年03月03日,株式会社三永開発,知花　和身,098-863-3516,（公社）全国宅地建物取引業保証協会,"10,000千円",建設業,不動産賃貸業,,,本店,主,3/3/1995,"〒900-0012
沖縄県那覇市泊二丁目１番地の１５",098-863-3516
152074,348,沖縄県,(06)第002967号,有限会社金弘商事,金城　紀美,本店,沖縄県うるま市字平良川１４５番地の３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002967,沖縄県知事免許　(06)第002967号,法人,H30年03月21日からR05年03月20日まで,H07年03月20日,有限会社金弘商事,金城　紀美,098-974-2069,（公社）全国宅地建物取引業保証協会,"5,000千円",不動産賃貸業,,,,本店,主,3/20/1995,"〒904-2221
沖縄県うるま市字平良川１４５番地の３",098-974-2069
152075,349,沖縄県,(06)第002972号,グッドホーム,田良島　貞一郎,本店,沖縄県那覇市壺川三丁目１番１０号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002972,沖縄県知事免許　(06)第002972号,個人,H30年04月25日からR05年04月24日まで,H07年04月24日,グッドホーム,田良島　貞一郎,098-832-1384,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,4/24/1995,"〒900-0025
沖縄県那覇市壺川三丁目１番１０号",098-832-1384
152076,350,沖縄県,(06)第002978号,有限会社　ひまわり住宅,生田　哲也,本店,沖縄県沖縄市高原七丁目２３番２号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002978,沖縄県知事免許　(06)第002978号,法人,H30年05月25日からR05年05月24日まで,H07年05月24日,有限会社ひまわり住宅,生田　哲也,098-933-3014,（公社）全国宅地建物取引業保証協会,"3,000千円",金融･保険業,不動産賃貸業,不動産管理業,,読谷支店,従,7/10/1996,"〒904-0316
沖縄県中頭郡読谷村字大木４６８番地",098-956-1610
152077,351,沖縄県,(06)第002978号,有限会社　ひまわり住宅,生田　哲也,読谷支店,沖縄県中頭郡読谷村字大木４６８番地,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002978,沖縄県知事免許　(06)第002978号,法人,H30年05月25日からR05年05月24日まで,H07年05月24日,有限会社ひまわり住宅,生田　哲也,098-933-3014,（公社）全国宅地建物取引業保証協会,"3,000千円",金融･保険業,不動産賃貸業,不動産管理業,,読谷支店,従,7/10/1996,"〒904-0316
沖縄県中頭郡読谷村字大木４６８番地",098-956-1610
152078,351,沖縄県,(06)第002978号,有限会社　ひまわり住宅,生田　哲也,読谷支店,沖縄県中頭郡読谷村字大木４６８番地,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002978,沖縄県知事免許　(06)第002978号,法人,H30年05月25日からR05年05月24日まで,H07年05月24日,有限会社ひまわり住宅,生田　哲也,098-933-3014,（公社）全国宅地建物取引業保証協会,"3,000千円",金融･保険業,不動産賃貸業,不動産管理業,,読谷支店,従,7/10/1996,"〒904-0316
沖縄県中頭郡読谷村字大木４６８番地",098-956-1610
152079,352,沖縄県,(06)第002985号,建物管理サービス,宮国　盛栄,本店,沖縄県石垣市字登野城１４５１番地５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002985,沖縄県知事免許　(06)第002985号,個人,H30年06月28日からR05年06月27日まで,H07年06月27日,建物管理サービス,宮国　盛栄,0980-83-0755,（公社）全国宅地建物取引業保証協会,0千円,不動産管理業,,,,本店,主,6/27/1995,"〒907-0004
沖縄県石垣市字登野城１４５１番地５",0980-83-0755
152080,353,沖縄県,(06)第002986号,有限会社ビッグ開発,下地　一平,本店,沖縄県那覇市曙三丁目６番１号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002986,沖縄県知事免許　(06)第002986号,法人,H30年06月28日からR05年06月27日まで,H07年06月27日,有限会社ビッグ開発,下地　一平,098-864-1240,（公社）全国宅地建物取引業保証協会,"5,000千円",兼業なし,,,,浦添支店,従,11/1/2001,"〒901-2133
沖縄県浦添市城間四丁目７番２号",098-874-7701
152081,354,沖縄県,(06)第002986号,有限会社ビッグ開発,下地　一平,浦添支店,沖縄県浦添市城間四丁目７番２号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002986,沖縄県知事免許　(06)第002986号,法人,H30年06月28日からR05年06月27日まで,H07年06月27日,有限会社ビッグ開発,下地　一平,098-864-1240,（公社）全国宅地建物取引業保証協会,"5,000千円",兼業なし,,,,浦添支店,従,11/1/2001,"〒901-2133
沖縄県浦添市城間四丁目７番２号",098-874-7701
152082,355,沖縄県,(06)第002986号,有限会社ビッグ開発,下地　一平,中部支店,沖縄県沖縄市字比屋根ニ丁目２番７号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002986,沖縄県知事免許　(06)第002986号,法人,H30年06月28日からR05年06月27日まで,H07年06月27日,有限会社ビッグ開発,下地　一平,098-864-1240,（公社）全国宅地建物取引業保証協会,"5,000千円",兼業なし,,,,浦添支店,従,11/1/2001,"〒901-2133
沖縄県浦添市城間四丁目７番２号",098-874-7701
152083,356,沖縄県,(06)第002999号,有限会社向陽住宅,名城　正剛,本店,沖縄県那覇市古波蔵一丁目６番１６号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47002999,沖縄県知事免許　(06)第002999号,法人,H30年08月08日からR05年08月07日まで,H07年08月07日,有限会社向陽住宅,名城　正剛,098-833-3889,（公社）全国宅地建物取引業保証協会,"3,000千円",兼業なし,,,,本店,主,8/7/1995,"〒900-0024
沖縄県那覇市古波蔵一丁目６番１６号",098-833-3889
152084,357,沖縄県,(06)第003001号,有限会社新居開発,大濵　設力,本店,沖縄県那覇市楚辺二丁目３番１号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003001,沖縄県知事免許　(06)第003001号,法人,H30年08月15日からR05年08月14日まで,H07年08月14日,有限会社新居開発,大濵　設力,098-853-9200,（公社）全国宅地建物取引業保証協会,"5,000千円",建設業,その他,,,本店,主,8/14/1995,"〒900-0023
沖縄県那覇市楚辺二丁目３番１号",098-853-9200
152085,358,沖縄県,(06)第003005号,有限会社和住宅,新里　美千代,本店,沖縄県島尻郡与那原町字与那原３０６２番地,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003005,沖縄県知事免許　(06)第003005号,法人,H30年08月26日からR05年08月25日まで,H07年08月25日,有限会社和住宅,新里　美千代,098-944-1205,（公社）全国宅地建物取引業保証協会,"5,000千円",不動産管理業,,,,本店,主,8/25/1995,"〒901-1303
沖縄県島尻郡与那原町字与那原３０６２番地",098-944-1205
152086,359,沖縄県,(06)第003012号,有限会社琉球地建,森山　厚,本店,沖縄県中頭郡西原町字棚原７８１番地　さんめい荘２階２０３号室,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003012,沖縄県知事免許　(06)第003012号,法人,H30年09月07日からR05年09月06日まで,H07年09月06日,有限会社琉球地建,森山　厚,098-988-3290,（公社）全国宅地建物取引業保証協会,"3,000千円",建設業,,,,本店,主,9/6/1995,"〒903-0126
沖縄県中頭郡西原町字棚原７８１番地　さんめい荘２階２０３号室",098-988-3290
152087,360,沖縄県,(06)第003020号,株式会社テルソウ,玉城　優,本店,沖縄県那覇市字小禄６６２番地,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003020,沖縄県知事免許　(06)第003020号,法人,H30年09月13日からR05年09月12日まで,H07年09月12日,株式会社テルソウ,玉城　優,098-857-4608,（公社）全国宅地建物取引業保証協会,"50,000千円",金融･保険業,不動産賃貸業,不動産管理業,,本店,主,9/12/1995,"〒901-0152
沖縄県那覇市字小禄６６２番地",098-857-4608
152088,361,沖縄県,(06)第003020号,株式会社テルソウ,玉城　優,小禄支店,沖縄県那覇市字小禄６６２番地　１階,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003020,沖縄県知事免許　(06)第003020号,法人,H30年09月13日からR05年09月12日まで,H07年09月12日,株式会社テルソウ,玉城　優,098-857-4608,（公社）全国宅地建物取引業保証協会,"50,000千円",金融･保険業,不動産賃貸業,不動産管理業,,本店,主,9/12/1995,"〒901-0152
沖縄県那覇市字小禄６６２番地",098-857-4608
152089,362,沖縄県,(06)第003021号,有限会社太建開發,宮城　豊,本店,沖縄県那覇市字上間４２９番地の１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003021,沖縄県知事免許　(06)第003021号,法人,H30年10月24日からR05年10月23日まで,H07年10月23日,有限会社太建開發,宮城　豊,098-853-8318,（公社）全国宅地建物取引業保証協会,"10,000千円",建設業,,,,本店,主,10/23/1995,"〒902-0073
沖縄県那覇市字上間４２９番地の１",098-853-8318
152090,363,沖縄県,(06)第003022号,有限会社　大光不動産,平安座　紳,本店,沖縄県宜野湾市真栄原二丁目２番３号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003022,沖縄県知事免許　(06)第003022号,法人,H30年10月24日からR05年10月23日まで,H07年10月23日,有限会社大光不動産,平安座　紳,098-897-0204,（公社）全国宅地建物取引業保証協会,"3,000千円",兼業なし,,,,本店,主,10/23/1995,"〒901-2215
沖縄県宜野湾市真栄原一丁目３番９号",098-897-0204
152091,364,沖縄県,(06)第003023号,有限会社大髙産業,髙良　幸祐,本店,沖縄県那覇市小禄一丁目１５番２４号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003023,沖縄県知事免許　(06)第003023号,法人,H30年10月24日からR05年10月23日まで,H07年10月23日,有限会社大髙産業,髙良　幸祐,098-858-5821,（公社）全国宅地建物取引業保証協会,"5,000千円",不動産賃貸業,不動産管理業,,,本店,主,10/23/1995,"〒901-0152
沖縄県那覇市小禄一丁目１５番２４号",098-858-5821
152092,365,沖縄県,(06)第003025号,有限会社オキシバ開発,大原　千恵子,本店,沖縄県那覇市曙二丁目１１番１号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003025,沖縄県知事免許　(06)第003025号,法人,H30年10月28日からR05年10月27日まで,H07年10月27日,有限会社オキシバ開発,大原　千恵子,098-866-8200,（公社）全国宅地建物取引業保証協会,"5,000千円",兼業なし,,,,本店,主,10/27/1995,"〒900-0002
沖縄県那覇市曙二丁目１１番１号",098-866-8200
152093,366,沖縄県,(06)第003027号,有限会社秋建設,伊計　高秋,本店,沖縄県中頭郡北中城村字安谷屋２０５番地１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003027,沖縄県知事免許　(06)第003027号,法人,H30年11月30日からR05年11月29日まで,H07年11月29日,有限会社秋建設,伊計　高秋,098-923-3820,（公社）全国宅地建物取引業保証協会,"30,000千円",建設業,,,,本店,主,11/29/1995,"〒901-2316
沖縄県中頭郡北中城村字安谷屋２０５番地１",098-923-3820
152094,367,沖縄県,(06)第003030号,有限会社ダイキン,下地　金榮,本店,沖縄県宮古島市平良字久貝１０５２番地の１８,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003030,沖縄県知事免許　(06)第003030号,法人,H30年11月30日からR05年11月29日まで,H07年11月29日,有限会社ダイキン,下地　金榮,0980-72-4824,（公社）全国宅地建物取引業保証協会,"5,000千円",兼業なし,,,,本店,主,11/29/1995,"〒906-0015
沖縄県宮古島市平良字久貝１０５２番地の１８",0980-72-4824
152095,368,沖縄県,(06)第003036号,有限会社コーポレーションひが,比嘉　周作,本店,沖縄県沖縄市知花一丁目２６番１６号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003036,沖縄県知事免許　(06)第003036号,法人,H30年12月12日からR05年12月11日まで,H07年12月11日,有限会社コーポレーションひが,比嘉　周作,098-938-5452,（公社）全国宅地建物取引業保証協会,"3,000千円",兼業なし,,,,本店,主,12/11/1995,"〒904-2143
沖縄県沖縄市知花一丁目２６番１６号",098-938-5452
152096,369,沖縄県,(06)第003038号,有限会社　シティライフ,與儀　恭之,本店,沖縄県沖縄市上地二丁目２０番５号　１Ｆ,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003038,沖縄県知事免許　(06)第003038号,法人,H30年12月12日からR05年12月11日まで,H07年12月11日,有限会社シティライフ,與儀　恭之,098-930-0637,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産管理業,不動産賃貸業,,,本店,主,12/11/1995,"〒904-0031
沖縄県沖縄市上地二丁目２０番５号　１Ｆ",098-930-0637
152097,370,沖縄県,(06)第003040号,有限会社　朝日ハウジング,與儀　博常,本店,沖縄県中頭郡西原町字翁長２４０番地の３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003040,沖縄県知事免許　(06)第003040号,法人,H30年12月29日からR05年12月28日まで,H07年12月28日,有限会社朝日ハウジング,與儀　博常,098-946-6453,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産管理業,,,,本店,主,12/28/1995,"〒903-0117
沖縄県中頭郡西原町字翁長２４０番地の３",098-946-6453
152098,371,沖縄県,(06)第003047号,有限会社スペースプラン,髙良　盛達,本店,沖縄県那覇市首里石嶺町四丁目１９８番地,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003047,沖縄県知事免許　(06)第003047号,法人,H31年01月23日からR06年01月22日まで,H08年01月22日,有限会社スペースプラン,髙良　盛達,098-887-0099,（公社）全国宅地建物取引業保証協会,"3,000千円",兼業なし,,,,本店,主,1/22/1996,"〒903-0804
沖縄県那覇市首里石嶺町四丁目１９８番地",098-887-0099
152099,372,沖縄県,(06)第003051号,有限会社　サンサン沖縄,本永　尚和,イエステーション,沖縄県沖縄市大里二丁目３１番１８号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003051,沖縄県知事免許　(06)第003051号,法人,H31年02月23日からR06年02月22日まで,H08年02月22日,有限会社サンサン沖縄,本永　尚和,098-937-3330,（公社）全国宅地建物取引業保証協会,"6,000千円",その他,,,,イエステーション,主,2/22/1996,"〒904-2163
沖縄県沖縄市大里二丁目３１番１８号",098-937-3330
152100,373,沖縄県,(06)第003051号,有限会社　サンサン沖縄,本永　尚和,ナハ北店,沖縄県那覇市古島１－２６－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003051,沖縄県知事免許　(06)第003051号,法人,H31年02月23日からR06年02月22日まで,H08年02月22日,有限会社サンサン沖縄,本永　尚和,098-937-3330,（公社）全国宅地建物取引業保証協会,"6,000千円",その他,,,,イエステーション,主,2/22/1996,"〒904-2163
沖縄県沖縄市大里二丁目３１番１８号",098-937-3330
152101,374,沖縄県,(06)第003063号,ハート不動産,大坪　力,本店,沖縄県浦添市伊祖四丁目１８番２号　コーポ桂１０２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003063,沖縄県知事免許　(06)第003063号,個人,H31年04月16日からR06年04月15日まで,H08年04月15日,ハート不動産,大坪　力,098-873-1173,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,4/15/1996,"〒901-2132
沖縄県浦添市伊祖四丁目１８番２号　コーポ桂１０２",098-873-1173
152102,375,沖縄県,(06)第003065号,あっぷるハウスリアルエステートサービス株式会社,伊良部　正,本店,沖縄県那覇市松山二丁目２５番１７号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003065,沖縄県知事免許　(06)第003065号,法人,H31年04月23日からR06年04月22日まで,H08年04月22日,あっぷるハウスリアルエステートサービス株式会社,伊良部　正,098-860-3833,（公社）全国宅地建物取引業保証協会,"5,000千円",兼業なし,,,,本店,主,4/22/1996,"〒900-0032
沖縄県那覇市松山二丁目２５番１７号",098-860-3833
152103,376,沖縄県,(06)第003067号,有限会社真栄平商事,真栄平　重通,本店,沖縄県南城市玉城字親慶原５３番地１　ＭＡＮＳＩＯＮ美風,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003067,沖縄県知事免許　(06)第003067号,法人,H31年04月27日からR06年04月26日まで,H08年04月26日,有限会社真栄平商事,真栄平　重通,090-9483-2565,（公社）全国宅地建物取引業保証協会,"10,000千円",不動産賃貸業,,,,本店,主,4/26/1996,"〒901-0608
沖縄県南城市玉城字親慶原５３番地１　ＭＡＮＳＩＯＮ美風",090-9483-2565
152104,377,沖縄県,(06)第003069号,株式会社　ピース企画,平安　秀昭,本店,沖縄県那覇市長田二丁目１番１６号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003069,沖縄県知事免許　(05)第003069号,法人,H28年04月27日からR03年04月26日まで,H08年04月26日,株式会社ピース企画,平安　秀昭,098-835-1818,（公社）全国宅地建物取引業保証協会,"10,000千円",不動産賃貸業,不動産管理業,その他,,本店,主,4/26/1996,"〒902-0077
沖縄県那覇市長田二丁目１番１６号",098-835-1818
152105,378,沖縄県,(06)第003073号,株式会社　アイワコーポレーション,宮城　嗣男,本店,沖縄県沖縄市東一丁目４番１８号東マンション１０１号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003073,沖縄県知事免許　(05)第003073号,法人,H28年05月10日からR03年05月09日まで,H08年05月09日,株式会社アイワコーポレーション,宮城　嗣男,098-937-6888,（公社）全国宅地建物取引業保証協会,"25,000千円",不動産賃貸業,,,,本店,主,5/9/1996,"〒904-2154
沖縄県沖縄市東一丁目４番１８号東マンション１０１号",098-937-6888
152106,379,沖縄県,(06)第003075号,有限会社　ホームズ,具志堅　栄,本店,沖縄県島尻郡与那原町字与那原３５８０番地の６　１階,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003075,沖縄県知事免許　(05)第003075号,法人,H28年05月18日からR03年05月17日まで,H08年05月17日,有限会社ホームズ,具志堅　栄,098-945-4000,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産管理業,,,,本店,主,5/17/1996,"〒901-1303
沖縄県島尻郡与那原町字与那原３５８０番地の６　１階",098-945-4000
152107,380,沖縄県,(06)第003081号,アクティヴハウジング,上里　幸秀,本店,沖縄県中頭郡北中城村字安谷屋１５３５－５　２階,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003081,沖縄県知事免許　(05)第003081号,個人,H28年06月22日からR03年06月21日まで,H08年06月21日,アクティヴハウジング,上里　幸秀,098-935-1212,（公社）全国宅地建物取引業保証協会,0千円,不動産賃貸業,不動産管理業,,,本店,主,6/21/1996,"〒901-2316
沖縄県中頭郡北中城村安谷屋１５３５－５　２階",098-935-1212
152108,381,沖縄県,(06)第003082号,大同住宅,佐和田　隆,本店,沖縄県那覇市二丁目５番１６号　１階,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003082,沖縄県知事免許　(05)第003082号,個人,H28年06月22日からR03年06月21日まで,H08年06月21日,大同住宅,佐和田　隆,098-861-6395,（公社）全国宅地建物取引業保証協会,0千円,不動産管理業,,,,本店,主,6/21/1996,"〒900-0037
沖縄県那覇市二丁目５番１６号　１階",098-861-6395
152109,382,沖縄県,(06)第003086号,有限会社神山土地建物,神山　篤一郎,本店,沖縄県那覇市銘苅一丁目３番２５号　ソリッド銘苅２０２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003086,沖縄県知事免許　(05)第003086号,法人,H28年06月25日からR03年06月24日まで,H08年06月24日,有限会社神山土地建物,神山　篤一郎,098-860-2755,（公社）全国宅地建物取引業保証協会,"5,000千円",不動産賃貸業,,,,本店,主,6/24/1996,"〒900-0004
沖縄県那覇市銘苅一丁目３番２５号　ソリッド銘苅２０２",098-860-2755
152110,383,沖縄県,(06)第003087号,イサム住宅,波平　勇,本店,沖縄県糸満市字糸満１９５５番地　グランジュテ　１０３号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003087,沖縄県知事免許　(05)第003087号,個人,H28年06月25日からR03年06月24日まで,H08年06月24日,イサム住宅,波平　勇,098-994-0999,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,6/24/1996,"〒901-0315
沖縄県糸満市照屋１８１－３",098-994-0999
152111,384,沖縄県,(06)第003088号,有限会社　アシステート,金城　厚,本店,沖縄県那覇市安謝一丁目３番３８号,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003088,沖縄県知事免許　(05)第003088号,法人,H28年06月25日からR03年06月24日まで,H08年06月24日,有限会社アシステート,金城　厚,098-864-1219,（公社）全国宅地建物取引業保証協会,"3,000千円",建設業,,,,本店,主,6/24/1996,"〒900-0003
沖縄県那覇市安謝一丁目３番３８号　５階",098-864-1219
152112,385,沖縄県,(06)第003092号,有限会社　伊禮商会,伊禮　充,本店,沖縄県うるま市与那城西原７３６番地の１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=47003092,沖縄県知事免許　(05)第003092号,法人,H28年06月28日からR03年06月27日まで,H08年06月27日,有限会社伊禮,伊禮　充,098-978-1013,（公社）全国宅地建物取引業保証協会,"3,000千円",その他,,,,本店,主,6/27/1996,"〒904-2302
沖縄県うるま市与那城西原７３６番地の１",098-978-1013
